V1,StartDate,EndDate,Status,IPAddress,Progress,Duration,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Age,CoronaA1,CoronaA2,CoronaA3,CoronaA4,CoronaA5,CoronaA6,CoronaA7,CoronaB1,CoronaB2,CoronaB3,CoronaB5,CoronaB6,CoronaC,CoronaD,CoronaE1,CoronaE2,CoronaE3,CoronaE4,CoronaE5,CoronaE6,CoronaF1,CoronaF2,CoronaF3,CoronaF4,CoronaG1,CoronaG2,CoronaG3,Aggress1,Aggress2,Aggress3,SDO1,SDO2,SDO3,r_sdo_3,VSA1,VSA2,VSA3,GCB1,GCB2,GCB3,SpamCheck1,AuthTrust1,AuthTrust2,AuthTrust3,AuthTrust4,Party,StrenPartyID,Lean,PartyID_1,PartyID_2,PartyID_3,PolAttitude_44,PolAttitude_45,PolAttitude_47,PolAttitude_48,FeelThermIn_1,Efficacy1,Efficacy2,Efficacy3,FeelThermOut_1,Hope,Sadness,Anger,PissedOff,Fear,Scared,Contempt,Disrespect,Disgust,Disappointment,Hostility,Hatred,TriatsOut_4,TriatsOut_5,TriatsOut_7,TriatsOut_9,TriatsOut_11,TriatsOut_12,TrustOut_1,SocDisOut1_1,SocDisOut2_1,SocDisOut3_1,Intolerance1,Intolerance2,Intolerance3,Intolerance4,ThreatOut1,ThreatOut2,ThreatOut3,PolConTheory1,PolConTheory2,PolConTheory3,LegitGnrl1,LegitGnrl2,LegitGnrl3,LegitGnrl4,LegitGnrl5,LegitGnrl6,LegitGnrl7,MetaPercepIn1,MetaPercepIn2,SpamCheck2,MetaPercepOut1,MetaPercepOut2,RiotLegit1,RiotLegit2,RiotLegit3,BanLegit1,BanLegit2,BanLegit3,PolPartic1,PolPartic2,PolPartic3,NationalNews,CNN,Fox,MSNBC,TalkRadio,SocialMedia,Parler,Telegram,AmericID1_125,AmericID2_4,AmericID3_4,Gender,Educ,Income,Ethnic,Religious,Ideolgy,Debriefing,workerId,assignmentId,hitId,OUTGROUP,OUT1,INGROUP,IN1,tID,IDS,duplicateID,naCount,FilteredOut,duplicateIP,SpamCheck1F,SpamCheck2F,SpamCheckFail,longstring,longstring_s,efficacy_avg,aggressiv_avg,sdo_avg,vsa_avg,legit_physical_viol,partyID_avg,binar_legit_viol,pol_camp,sex,ZAge,ZEduc,ZReligious,ZFeelThermOut_1,Zefficacy_avg,Zaggressiv_avg,Zsdo_avg,Zvsa_avg,ZpartyID_avg,pol_camp_mc,Zlegit_physical_viol,soc_dis_mean
246,1/16/21 11:32,1/16/21 11:43,0,12.205.151.216,100,658,1,1/16/21 11:43,R_qynUozh2iZyQvYd,NA,NA,NA,NA,37.77940369,-122.4176025,anonymous,EN,37,2,2,3,2,2,3,2,2,1,2,2,2,5,1,4,3,3,4,4,5,4,3,2,4,4,3,4,4,5,5,5,5,5,2,5,4,5,5,4,5,6,4,5,5,3,3,NA,1,73,88,68,95,76,92,80,72,4,5,5,58,89,87,88,89,89,88,91,88,88,88,90,88,76,93,96,7,7,7,55,61,71,67,55,54,56,56,3,3,3,1,1,1,2,2,2,2,2,2,2,2,2,6,4,5,6,3,1,1,1,1,4,5,6,4,4,4,5,5,6,2,3,75,84,59,11,22,17,35,98,6, ,A2FP41BSPG0Y4A,3AZHRG4CU5YKE2H43F1AVJXNM1830X,3CESM1J3EIG9WR7EPLNRKXNP7UJ6WP,Republicans,Republican,Democrtas,Democrat,an Independent,Independents,FALSE,5,0,FALSE,0,0,0,9,0.172607505,4.666666667,4.666666667,4,4.666666667,2,76.33333333,1,1,0, , , , , , , , , ,-0.4491, ,66.33333333
263,1/16/21 11:43,1/16/21 11:51,0,172.90.209.95,100,445,1,1/16/21 11:51,R_3lt3lM3yCjbPmgG,NA,NA,NA,NA,33.91679382,-118.3432007,anonymous,EN,33,1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,5,4,4,5,4,2,2,5,3,1,1,1,1,1,1,6,6,1,6,6,6,6,5,3,5,6,1,3,3,3,3,NA,1,50,50,0,0,0,0,0,80,5,5,5,0,87,87,92,87,93,93,87,93,93,93,93,87,100,0,0,50,50,100,0,0,0,0,54,57,51,51,3,3,3,1,1,1,1,1,1,1,1,1,1,3,3,6,6,6,1,1,1,3,3,3,1,1,1,1,1,1,1,1,6,1,1,0,0,0,11,22,15,35,93,4, ,A1T4NOV07AHY60,3X1FV8S5JY511FU81RWJZ6CMK2RGVB,3CESM1J3EIG9WR7EPLNRKXNP7UJ6WP,Republicans,Republican,Democrtas,Democrat,an Independent,Independents,FALSE,5,0,FALSE,0,0,0,12,1.10601578,5,1,6,6,1,33.33333333,0,1,0, , , , , , , , , ,-0.4491, ,0
324,1/16/21 12:18,1/16/21 12:35,0,68.50.115.51,100,1007,1,1/16/21 12:35,R_1mzxHmKjzn9EdWC,NA,NA,NA,NA,39.59919739,-86.12999725,anonymous,EN,38,3,2,2,2,1,2,1,3,3,3,3,3,4,1,5,5,3,5,1,3,5,5,3,5,5,5,5,1,1,1,6,6,1,6,5,5,6,2,3,2,6,5,5,6,6,3,NA,1,92,76,51,28,60,76,51,71,6,6,6,69,90,92,91,91,89,88,88,90,90,93,88,87,89,77,27,71,76,98,67,100,100,100,51,54,52,51,2,2,3,1,1,1,1,1,1,1,1,1,1,1,3,6,5,3,2,1,1,5,5,3,2,4,1,4,1,1,4,1,4,1,1,100,100,100,11,20,15,35,99,2, ,AJ3FL1SGS9NNI,3LOTDFNYA8D824YIGHVX3NVOQWXWF6,3CZH926SICR104H9LX061TWB4Z8E4W,Republicans,Republican,Democrtas,Democrat,an Independent,Independents,FALSE,5,0,FALSE,0,0,0,11,0.794879688,6,1,6,5.333333333,1,73,0,1,0, , , , , , , , , ,-0.4491, ,100
338,1/16/21 12:34,1/16/21 12:42,0,71.255.250.132,100,491,1,1/16/21 12:42,R_2xV60vxO4MFr7u6,NA,NA,NA,NA,39.13609314,-77.28240204,anonymous,EN,40,2,2,1,2,3,1,1,1,2,3,1,1,2,4,3,5,2,5,3,3,1,1,2,1,1,1,1,1,4,1,6,6,1,6,1,3,4,1,1,1,6,4,4,6,4,3,NA,1,100,100,76,100,100,100,100,60,5,5,5,11,87,92,93,93,92,92,91,91,91,92,93,92,0,0,0,100,100,100,22,51,30,27,54,51,51,51,4,5,6,5,4,1,1,1,1,1,1,1,1,1,1,6,2,1,1,1,1,6,6,6,4,6,5,6,5,6,5,5,6,1,1,100,100,100,11,22,16,35,94,2,All the best.,A3UCK7CAPXM8JB,3OLQQLKKNT3UQ6YNE7SCWFGGCZBEJD,3S8A4GJRD3GWH279ZBIVYV4B0LH6VF,Republicans,Republican,Democrtas,Democrat,an Independent,Independents,FALSE,5,0,FALSE,0,0,0,10,0.483743596,5,2,6,2.666666667,1,92,0,1,0, , , , , , , , , ,-0.4491, ,36
351,1/16/21 12:29,1/16/21 12:48,0,47.24.36.192,100,1165,1,1/16/21 12:48,R_2q3qdAsPRULHK6T,NA,NA,NA,NA,32.86849976,-97.28630066,anonymous,EN,29,2,2,2,2,2,1,2,1,2,3,2,1,5,3,5,5,3,4,2,4,2,2,3,3,1,1,1,1,1,1,5,6,1,6,2,2,1,4,3,1,6,1,2,3,2,3,NA,1,56,86,6,76,74,73,88,35,6,6,6,16,87,91,91,91,92,92,91,90,91,93,87,88,29,30,10,100,79,60,14,72,83,75,53,52,51,51,3,4,6,1,1,1,5,4,2,2,1,1,1,1,1,6,1,1,1,1,1,4,4,4,1,5,2,4,1,2,4,1,3,1,1,50,26,62,11,22,14,35,97,2, ,AHVM9ORYY3F5J,3300DTYQT3VBCT209XCLTGS2QUXQEA,3G5RUKN2ECG6RG0YVRZG8O104JN9NC,Republicans,Republican,Democrtas,Democrat,an Independent,Independents,FALSE,5,0,FALSE,0,0,0,6,-0.760800771,6,1,5.666666667,1.666666667,1,49.33333333,0,1,0, , , , , , , , , ,-0.4491, ,76.66666667
375,1/16/21 12:34,1/16/21 13:08,0,173.73.33.66,100,2050,1,1/16/21 13:08,R_0wTsXs6ojDPVacp,NA,NA,NA,NA,38.64379883,-77.3451004,anonymous,EN,37,4,4,4,4,3,3,4,4,4,4,3,3,7,2,4,5,3,5,2,4,1,1,3,1,1,1,1,2,4,1,5,5,1,6,6,5,5,5,1,1,6,1,2,4,3,3,NA,1,80,85,80,64,51,70,50,85,5,5,5,30,88,92,90,91,89,88,87,87,87,89,87,87,51,62,25,67,73,82,24,85,100,100,51,51,51,51,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,6,3,2,1,1,1,6,6,6,1,5,1,4,5,5,5,3,1,1,1,100,100,100,10,22,17,38,97,4, ,A3BHRFZA1FH0KH,32SVAV9L3GNGFFFMVHY3KP90VNRA32,3VP28W7DUNX99F5U11A2D7UKHVPZFA,Republicans,Republican,Democrtas,Democrat,an Independent,Independents,FALSE,5,0,FALSE,0,0,0,13,1.417151872,5,2.333333333,5.333333333,5.333333333,1,81.66666667,0,1,1, , , , , , , , , ,-0.4491, ,95
383,1/16/21 13:02,1/16/21 13:16,0,76.27.61.126,100,837,1,1/16/21 13:16,R_1Qc05Fe1JtCdZQv,NA,NA,NA,NA,40.16360474,-111.5998001,anonymous,EN,23,3,2,4,3,3,2,3,2,3,3,2,3,3,4,3,3,4,5,4,5,4,3,5,5,3,2,2,3,5,2,4,5,2,5,2,5,3,5,6,5,6,1,2,1,2,3,NA,1,67,62,9,12,27,24,31,74,5,6,5,20,88,87,92,92,90,92,88,91,92,93,92,92,20,11,6,76,50,91,7,25,22,13,52,52,51,52,5,6,5,1,1,1,3,4,3,6,3,2,5,2,1,6,2,1,1,1,1,4,5,5,2,2,3,1,1,2,1,1,4,1,1,22,16,16,10,21,15,35,94,2, ,A2907V9QMK6SN4,37Z929RLGAMPESZARWQLN274BSCTSZ,359AP8GAGGXJMTFER4SIEHGIAPLC7L,Republicans,Republican,Democrtas,Democrat,an Independent,Independents,FALSE,5,0,FALSE,0,0,0,4,-1.383072954,5.333333333,3.333333333,4.666666667,3.333333333,3.333333333,46,1,1,1, , , , , , , , , ,-0.4491, ,20
392,1/16/21 13:12,1/16/21 13:26,0,47.157.252.176,100,789,1,1/16/21 13:26,R_cNIPgfzfuLT9MTn,NA,NA,NA,NA,33.72149658,-118.0509033,anonymous,EN,62,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,5,3,4,1,3,1,1,2,1,1,1,1,1,1,1,5,5,1,6,2,2,2,1,1,1,6,1,4,5,5,3,NA,1,50,80,91,70,91,91,91,95,6,6,5,30,89,92,93,93,92,92,92,92,93,93,93,92,25,26,3,94,76,58,4,65,66,67,53,51,51,51,5,5,5,1,1,1,4,4,5,2,1,1,1,2,2,6,5,5,2,1,1,6,6,6,1,6,1,6,6,1,4,1,1,1,1,88,96,95,10,23,17,35,93,4, ,A2EKCMS8IKV57N,3WMINLGALCH4SFB5OA94DSDU107AC3,33KGGVH24UUTE5B7TK7WRKAF8L91XF,Republicans,Republican,Democrtas,Democrat,an Independent,Independents,FALSE,5,0,FALSE,0,0,0,12,1.10601578,5.666666667,1,5.333333333,2,1,73.66666667,0,1,1, , , , , , , , , ,-0.4491, ,66
410,1/16/21 13:33,1/16/21 13:43,0,67.11.103.50,100,585,1,1/16/21 13:43,R_3rYaz6EdxQDBvjd,NA,NA,NA,NA,29.65840149,-98.498703,anonymous,EN,25,2,2,3,3,2,3,1,2,3,2,3,2,5,3,5,5,3,5,2,2,1,1,3,1,1,1,1,1,1,1,6,6,1,6,5,5,4,4,2,1,6,2,4,3,2,3,NA,1,46,51,35,25,62,70,70,95,6,5,6,30,89,92,92,93,93,92,92,93,91,93,92,89,65,36,1,72,71,92,22,16,48,32,56,52,52,52,5,6,6,1,1,1,5,4,3,4,2,1,1,1,1,6,3,3,4,1,1,5,5,5,2,4,3,1,4,3,4,1,3,1,1,66,75,91,11,22,15,35,93,2, ,AHQYFQPAQVFXW,3XCC1ODXDMP0LX75V3WLSNRL5JXQRX,3QI9WAYOGQOGPAQ55GDQN8K41HN6SA,Republicans,Republican,Democrtas,Democrat,an Independent,Independents,FALSE,5,0,FALSE,0,0,0,7,-0.449664679,5.666666667,1,6,4.666666667,1.333333333,44,1,1,0, , , , , , , , , ,-0.4491, ,32
411,1/16/21 13:30,1/16/21 13:44,0,73.19.25.163,100,841,1,1/16/21 13:44,R_2zZQ53HgAeanrG3,NA,NA,NA,NA,47.12710571,-122.3139954,anonymous,EN,65,2,2,1,2,1,3,1,3,2,3,2,1,5,2,4,5,2,4,3,4,2,2,3,3,1,1,1,1,4,1,6,6,1,6,1,3,3,2,1,1,6,1,2,4,3,3,NA,1,56,59,35,58,32,42,54,65,5,4,6,29,87,91,93,91,90,91,91,89,90,92,91,88,40,61,20,83,66,53,24,37,36,45,52,52,51,51,2,3,4,1,1,1,2,2,1,1,1,1,1,2,1,6,5,5,1,1,1,6,6,6,1,5,6,3,1,1,1,1,5,1,1,64,64,51,11,20,14,35,93,1, ,AUVKFU19W65JC,3TU5ZICBREFU3SS9WUQL16WGFR9Q8L,3VP28W7DUNX99F5U11A2D7UKHVPZFA,Republicans,Republican,Democrtas,Democrat,an Independent,Independents,FALSE,5,0,FALSE,0,0,0,5,-1.071936862,5,2,6,2.333333333,1,50,0,1,0, , , , , , , , , ,-0.4491, ,39.33333333
